"","ISI","DMC","DC","temp","RH","wind","wkd","wkdM","summer","areaTrans","FFMCQuantile","wetness","rainvnorain"
"460",7.7,273.8,819.1,15.5,72,8,1,1,1,1.07840958135059,6,795.96,0
"470",12.3,14.6,25.6,13.7,33,9.4,1,1,0,4.1292289640756,5,328.5612,0
"181",8.5,124.1,680.7,23.9,32,6.7,1,1,1,1.84530023615608,8,596.8,0
"26",10.6,142.4,601.4,16.3,60,5.4,1,1,1,0,6,697.38,0
"493",11.3,158,633.6,32.4,27,2.2,1,1,1,0,10,856.89,0
"78",5,52.2,103.8,8.3,72,3.1,0,1,0,0,2,513.072,0
"274",6.8,27.2,353.5,4.8,57,8.5,1,1,0,2.30058309032337,1,323.6688,0
"25",20.3,139.4,594.2,23.7,32,5.8,1,1,1,0,10,589.76,0
"496",16.8,175.5,661.8,23.9,42,2.2,0,1,1,0,10,783.3,0
"500",14.3,181.1,671.2,27.3,63,4.9,0,0,1,2.46979301197795,10,1458.051,1
"65",5.8,103.2,638.8,23.1,31,3.1,0,1,1,0,5,550.87,0
"87",9.2,137,706.4,25.4,27,2.2,0,0,1,0,9,553.581,0
"304",7.1,94.1,232.1,19.2,38,4.5,1,1,1,0,5,528.504,0
"108",6.3,99.6,631.2,21.4,33,3.1,1,1,1,0,3,527.274,0
"107",7.5,30.7,74.3,18.2,29,3.1,0,0,0,0,6,379.494,0
"152",7.2,68.6,355.2,24.8,29,2.2,1,1,1,0.858661619037519,3,572.924,0
"113",4.8,90,704.4,22.8,39,3.6,1,1,1,0,2,680.16,0
"224",6.8,150.3,309.9,13.4,79,3.6,1,1,1,3.63811233706028,2,772.9992,0
"10",7.1,88,698.6,22.8,40,4,1,1,1,0,8,697.6,0
"110",7.1,91.8,709.9,17.4,56,5.4,0,1,1,0,2,696.752,0
"235",8.6,121.1,674.4,17.7,25,3.1,1,1,1,5.04908648047051,8,317.0875,0
"404",6.8,194.1,643,21.3,41,3.6,0,0,1,0,3,651.121,0
"137",8.5,124.1,680.7,17.2,58,1.3,1,1,1,0,8,712.298,0
"283",3.4,27.5,353.5,4.2,51,4,1,1,0,0,1,280.1736,0
"55",6.3,114.3,661.3,17.6,45,3.6,0,0,1,0,7,567.135,0
"260",13.7,170.9,692.3,23.7,40,1.8,1,1,1,0.867100487683383,7,737.2,0
"117",7.8,35.8,80.8,11.6,30,6.3,1,1,0,0,7,262.656,0
"105",2.9,3.7,9.3,5.3,78,3.1,1,1,0,0,1,457.548,0
"219",9.2,133.3,699.6,19.4,19,1.3,0,0,1,3.48798651173455,9,267.634,0
"312",9.9,105.8,758.1,24.8,28,1.8,1,1,1,2.72719901994097,8,553.168,0
"384",6.3,248.4,753.8,20.5,58,2.7,0,0,1,3.78123071517812,6,876.09,0
"27",12.2,117.9,668,19,34,5.8,1,1,1,0,8,466.82,0
"318",8.6,96.2,739.4,19.2,24,4.9,0,0,1,1.56444054650336,8,333.792,0
"226",8.1,149.3,728.6,22.9,39,4.9,1,1,1,3.902982260776,10,684.45,0
"214",5,52.2,103.8,11,46,5.8,0,1,0,3.34462703017376,2,386.952,0
"459",8.4,231.1,715.1,18.9,64,4.9,1,1,1,1.46325540225602,10,873.568,0
"446",10.7,47.9,100.7,17.3,80,4.5,1,1,1,0,10,988.92,0
"497",16.8,175.5,661.8,32.6,26,3.1,0,1,1,1.32707500145992,10,836.16,0
"275",5.3,27.8,354.6,5.1,61,8,0,0,0,2.50061594349318,1,352.702,0
"430",7.6,181.3,613,24.6,44,4,1,1,1,1.43508452528932,6,858.308,0
"66",6.3,114.3,661.3,18.6,44,4.5,0,0,1,0,7,589.952,0
"431",6.8,287.2,849.3,19.4,45,3.6,0,0,1,0,2,633.87,0
"489",17.7,141.3,605.8,19.4,71,7.6,0,0,1,3.8649313978943,10,1000.106,0
"50",5,52.2,103.8,11,46,5.8,0,1,0,0,2,386.952,0
"389",12,227,706.7,23.3,34,3.1,1,1,1,3.39249294103201,10,611.66,0
"356",9.6,99,745.3,20.8,35,4.9,1,1,1,2.64333388638252,7,538.86,0
"104",8.6,121.1,674.4,24.1,29,4.5,1,1,1,0,8,547.6505,0
"296",11,180.4,430.8,22.2,48,1.3,1,1,1,0,9,805.44,0
"370",7.1,276.3,825.1,13.8,77,7.6,1,1,1,0,5,771.0472,0
"516",11.3,146,614.7,25.6,42,4,1,1,1,0,10,871.584,0
"514",1.9,56.7,665.6,21.9,71,5.8,1,1,1,4.01259206034984,1,1168.873,0
"126",8.8,46.5,691.8,20.6,24,5.4,1,1,0,0,9,364.848,0
"447",8.1,203.2,664.5,19.1,70,2.2,1,1,1,0,7,967.33,0
"95",5.8,103.2,638.8,23.4,22,2.7,0,1,1,0,5,398.2,0
"434",10.1,235.1,723.1,20.9,66,4.9,1,1,1,2.79361608943186,10,1022.538,0
"29",8.1,145.4,721.4,30.2,24,2.7,1,1,1,0,10,665.472,0
"509",7.1,166.9,752.6,25.9,41,3.6,1,1,1,0,5,866.1455,0
"405",3.7,84.8,725.1,21.8,34,2.2,0,0,1,1.95160817016995,2,556.444,0
"69",12.2,117.9,668,19.6,33,6.3,1,1,1,0,8,470.712,0
"20",5.1,27.4,97.1,9.3,44,4.5,1,1,0,0,2,332.024,0
"213",15.9,85.1,692.3,20.1,47,4.9,1,1,1,3.30064012667084,10,691.699,0
"467",7.1,15.1,36.9,10.2,45,5.8,0,1,0,1.43031124653666,2,357.948,0
"341",6.2,108.4,764,19.3,44,2.2,0,1,1,1.5953389880546,6,615.868,0
"347",7.5,130.1,807.1,21.3,35,2.2,0,1,1,3.37382618486602,6,555.835,0
"338",6.2,108.4,764,23,34,2.2,0,1,1,4.04375277610604,6,600.44,0
"262",8.9,112.4,573,11.2,84,7.6,1,1,1,1.45861502269952,6,716.2176,0
"63",7.7,75.3,466.6,18.8,35,4.9,0,0,1,0,9,474.915,0
"176",8.9,96.9,624.2,20.3,39,4.9,1,1,1,1.71018781553424,3,581.529,0
"233",7,129.5,692.6,18.7,43,2.7,0,0,1,4.64813388542021,5,580.0055,0
"9",7,129.5,692.6,13.1,63,5.4,0,0,1,0,5,605.6316,0
"308",5.7,84.1,714.3,23.8,35,3.6,1,1,1,1.8213182714696,2,648.9,0
"513",1.9,56.7,665.6,27.8,32,2.7,1,1,1,2.006870848845,1,763.904,0
"138",7,126.5,686.5,15.6,66,3.1,0,1,1,0,5,734.316,0
"114",9.2,78.5,724.3,18.9,35,2.7,0,1,1,0,7,477.7325,0
"133",9.6,51.3,102.2,10.6,46,4.9,1,1,0,0,2,376.4272,0
